MAZ,HH,ADLT,WRKR,KID
1,2642,3759,3013,241
2,1063,1576,1386,155
3,868,1236,1001,85
4,1850,2721,2369,227
5,2077,3169,2784,357
6,766,1155,995,106
7,1400,2198,1826,187
8,149,272,182,19
9,1675,2468,1882,127
10,634,966,711,27
11,205,317,224,9
12,654,1011,718,30
13,1498,2212,1993,134
14,1557,2362,2013,151
15,376,556,447,33
16,1014,1499,1277,88
17,6054,9091,6373,721
18,1022,1451,1011,130
19,2137,3094,2354,150
20,1719,2505,1899,171
21,1398,2024,1520,114
22,2188,3309,2348,220
23,3011,4643,3214,326
24,2175,3330,2306,260
25,160,233,184,9
26,306,474,332,31
27,1485,2297,1614,153
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,383,605,233,8
32,309,494,189,4
33,0,0,0,0
34,0,0,0,0
35,977,1508,1084,148
36,2036,3141,2272,310
37,192,297,211,9
38,0,0,0,0
39,1168,1804,1280,52
40,492,760,539,22
41,1645,2548,1951,246
42,1530,2346,1868,256
43,449,788,410,63
44,508,786,641,77
45,2469,4013,2878,314
46,1296,2108,1494,164
47,943,1531,1123,121
48,366,594,414,46
49,3,5,2,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,3992,6215,4038,575
54,8226,12196,7097,652
55,7419,10767,8492,778
56,2640,4184,3059,1139
57,8323,11683,8456,519
58,1763,2718,2070,403
59,231,328,245,43
60,1736,3315,2800,217
61,368,661,510,60
62,2385,4569,3591,376
63,1905,3150,2705,415
64,2503,4463,3692,735
65,1898,2893,2381,475
66,619,952,757,146
67,2593,4172,3094,644
68,1850,2936,2317,518
69,926,2176,1212,136
70,2440,5044,3104,933
71,2274,4043,2395,741
72,986,1493,712,495
73,2241,4378,2858,949
74,2275,4421,2863,495
75,921,1417,885,338
76,278,492,256,38
77,1605,2978,1595,527
78,832,1675,1185,276
79,0,0,0,0
80,7025,10318,8261,1323
81,0,0,0,0
82,5080,7497,6140,921
83,0,0,0,0
84,0,0,0,0
85,2972,5457,4629,681
86,2431,4703,3770,643
87,3478,6398,5706,853
88,2999,5437,4523,694
89,1802,3500,2794,760
90,1878,3358,2790,524
91,694,1162,682,472
92,725,1437,795,386
93,963,1302,585,107
94,1562,2486,1419,866
95,0,0,0,0
96,1064,2189,1180,282
97,133,254,57,14
98,57,87,41,27
99,2470,5942,3918,1410
100,2347,5209,3545,1475
101,0,0,0,0
102,454,693,503,102
103,1536,2225,1374,146
104,1435,2140,1139,183
105,1796,3943,2015,600
106,738,1710,910,289
107,2045,4333,2066,1322
108,2644,6154,3626,1133
109,109,261,164,54
110,40,92,46,18
111,1472,3452,1979,722
112,1285,2795,1544,491
113,342,693,515,137
114,1971,4177,2868,859
115,0,0,0,0
116,0,0,0,0
117,657,1195,995,234
118,2604,4746,3973,932
119,2281,3972,3383,693
120,3024,5187,4449,999
121,2147,4667,2955,465
122,1383,2460,1703,520
123,1706,3219,2678,549
124,116,209,160,20
125,2518,3922,2978,292
126,3246,5788,4403,968
127,3867,5603,4559,642
128,2496,4840,3387,1262
129,0,0,0,0
130,332,827,461,201
131,677,1455,997,462
132,691,1430,984,382
133,461,936,587,318
134,973,1912,1308,630
135,423,851,538,293
136,813,2023,1127,495
137,806,2008,1117,491
138,751,1574,1096,514
139,1030,2167,1469,698
140,350,674,428,171
141,0,0,0,0
142,899,1741,1113,426
143,300,581,372,143
144,767,1545,1045,366
145,412,831,510,264
146,442,888,606,213
147,962,1824,947,305
148,975,1840,949,308
149,671,1335,746,235
150,545,1085,606,193
151,890,1545,735,203
152,760,1366,576,339
153,477,839,391,107
154,582,1063,466,198
155,1013,2035,833,397
156,721,1343,732,301
157,798,1451,763,341
158,898,1717,920,537
159,174,319,183,95
160,815,1926,820,341
161,1003,1860,1059,554
162,895,2053,929,434
163,663,1481,708,361
164,1312,2577,1172,604
165,753,1697,818,283
166,1412,2581,1137,453
167,828,1651,784,484
168,295,616,398,200
169,522,1066,610,324
170,563,1164,763,383
171,557,1023,590,215
172,790,1773,1023,444
173,651,1186,685,249
174,594,1317,761,326
175,667,1574,854,307
176,788,1798,980,351
177,951,2168,882,524
178,536,1090,531,248
179,551,1199,483,143
180,717,1567,781,360
181,938,2116,985,471
182,721,1576,786,361
183,4,6,3,1
184,692,1347,555,316
185,802,1619,815,275
186,863,1817,873,318
187,219,375,222,46
188,671,1142,675,137
189,0,0,0,0
190,467,790,466,99
191,969,1726,635,450
192,353,638,250,157
193,452,808,297,210
194,885,1912,864,738
195,0,0,0,0
196,575,1156,533,483
197,0,0,0,0
198,0,0,0,0
199,0,0,0,0
200,0,0,0,0
201,0,0,0,0
202,389,671,333,256
203,0,0,0,0
204,0,0,0,0
205,0,0,0,0
206,940,1664,755,460
207,1111,2027,875,399
208,750,1319,601,348
209,840,1487,671,358
210,457,1101,421,321
211,678,1536,620,248
