MAZ,TAZ,STATEFP,COUNTYFP,COUNTY,PUMA,REGION
1,4,17,31,17031,3525,1
2,3,17,31,17031,3525,1
3,11,17,31,17031,3525,1
4,10,17,31,17031,3525,1
5,2,17,31,17031,3525,1
6,1,17,31,17031,3524,1
7,9,17,31,17031,3525,1
8,8,17,31,17031,3524,1
9,17,17,31,17031,3525,1
10,16,17,31,17031,3525,1
11,23,17,31,17031,3525,1
12,22,17,31,17031,3525,1
13,15,17,31,17031,3524,1
14,14,17,31,17031,3524,1
15,21,17,31,17031,3524,1
16,20,17,31,17031,3524,1
17,7,17,31,17031,3525,1
18,6,17,31,17031,3525,1
19,5,17,31,17031,3525,1
20,13,17,31,17031,3525,1
21,12,17,31,17031,3525,1
22,19,17,31,17031,3525,1
23,25,17,31,17031,3525,1
24,19,17,31,17031,3525,1
25,18,17,31,17031,3525,1
26,25,17,31,17031,3525,1
27,24,17,31,17031,3525,1
28,7,17,31,17031,3525,1
29,31,17,31,17031,3525,1
30,31,17,31,17031,3525,1
31,30,17,31,17031,3525,1
32,36,17,31,17031,3525,1
33,42,17,31,17031,3525,1
34,42,17,31,17031,3525,1
35,41,17,31,17031,3525,1
36,47,17,31,17031,3525,1
37,29,17,31,17031,3525,1
38,28,17,31,17031,3525,1
39,35,17,31,17031,3525,1
40,34,17,31,17031,3525,1
41,27,17,31,17031,3524,1
42,26,17,31,17031,3524,1
43,33,17,31,17031,3524,1
44,32,17,31,17031,3524,1
45,40,17,31,17031,3525,1
46,39,17,31,17031,3525,1
47,46,17,31,17031,3525,1
48,45,17,31,17031,3525,1
49,38,17,31,17031,3524,1
50,37,17,31,17031,3524,1
51,44,17,31,17031,3524,1
52,43,17,31,17031,3524,1
53,52,17,31,17031,3525,1
54,57,17,31,17031,3525,1
55,51,17,31,17031,3525,1
56,50,17,31,17031,3525,1
57,56,17,31,17031,3525,1
58,55,17,31,17031,3525,1
59,49,17,31,17031,3525,1
60,48,17,31,17031,3524,1
61,54,17,31,17031,3524,1
62,53,17,31,17031,3524,1
63,59,17,31,17031,3524,1
64,58,17,31,17031,3524,1
65,61,17,31,17031,3524,1
66,60,17,31,17031,3524,1
67,63,17,31,17031,3524,1
68,62,17,31,17031,3524,1
69,65,17,31,17031,3524,1
70,64,17,31,17031,3524,1
71,67,17,31,17031,3524,1
72,66,17,31,17031,3524,1
73,73,17,31,17031,3524,1
74,72,17,31,17031,3524,1
75,69,17,31,17031,3525,1
76,68,17,31,17031,3524,1
77,75,17,31,17031,3526,1
78,74,17,31,17031,3524,1
79,71,17,31,17031,3525,1
80,70,17,31,17031,3525,1
81,77,17,31,17031,3525,1
82,76,17,31,17031,3525,1
83,71,17,31,17031,3525,1
84,77,17,31,17031,3525,1
85,91,17,31,17031,3524,1
86,90,17,31,17031,3524,1
87,93,17,31,17031,3524,1
88,92,17,31,17031,3524,1
89,95,17,31,17031,3524,1
90,94,17,31,17031,3524,1
91,97,17,31,17031,3524,1
92,96,17,31,17031,3524,1
93,99,17,31,17031,3524,1
94,98,17,31,17031,3524,1
95,101,17,31,17031,3524,1
96,100,17,31,17031,3524,1
97,103,17,31,17031,3524,1
98,102,17,31,17031,3524,1
99,105,17,31,17031,3524,1
100,104,17,31,17031,3524,1
101,113,17,31,17031,3525,1
102,112,17,31,17031,3525,1
103,121,17,31,17031,3529,1
104,120,17,31,17031,3529,1
105,111,17,31,17031,3526,1
106,110,17,31,17031,3526,1
107,119,17,31,17031,3526,1
108,118,17,31,17031,3526,1
109,109,17,31,17031,3524,1
110,108,17,31,17031,3524,1
111,117,17,31,17031,3526,1
112,116,17,31,17031,3526,1
113,107,17,31,17031,3524,1
114,106,17,31,17031,3524,1
115,115,17,31,17031,3524,1
116,114,17,31,17031,3524,1
117,79,17,31,17031,3522,1
118,78,17,31,17031,3522,1
119,85,17,31,17031,3524,1
120,84,17,31,17031,3522,1
121,81,17,31,17031,3502,1
122,80,17,31,17031,3502,1
123,87,17,31,17031,3502,1
124,86,17,31,17031,3524,1
125,83,17,31,17031,3502,1
126,82,17,31,17031,3502,1
127,89,17,31,17031,3502,1
128,88,17,31,17031,3502,1
129,89,17,31,17031,3502,1
130,630,17,31,17031,3530,1
131,1486,17,31,17031,3411,1
132,632,17,31,17031,3411,1
133,632,17,31,17031,3411,1
134,632,17,31,17031,3411,1
135,632,17,31,17031,3411,1
136,631,17,31,17031,3530,1
137,631,17,31,17031,3530,1
138,631,17,31,17031,3530,1
139,631,17,31,17031,3530,1
140,633,17,31,17031,3530,1
141,633,17,31,17031,3530,1
142,634,17,31,17031,3530,1
143,634,17,31,17031,3530,1
144,635,17,31,17031,3411,1
145,635,17,31,17031,3411,1
146,635,17,31,17031,3411,1
