REGION,PUMA,TAZ,MAZ
1,3525,4,1
1,3525,3,2
1,3525,11,3
1,3525,10,4
1,3525,2,5
1,3524,1,6
1,3525,9,7
1,3524,8,8
1,3525,17,9
1,3525,16,10
1,3525,23,11
1,3525,22,12
1,3524,15,13
1,3524,14,14
1,3524,21,15
1,3524,20,16
1,3525,7,17
1,3525,6,18
1,3525,5,19
1,3525,13,20
1,3525,12,21
1,3525,19,22
1,3525,25,23
1,3525,19,24
1,3525,18,25
1,3525,25,26
1,3525,24,27
1,3525,7,28
1,3525,31,29
1,3525,31,30
1,3525,30,31
1,3525,36,32
1,3525,42,33
1,3525,42,34
1,3525,41,35
1,3525,47,36
1,3525,29,37
1,3525,28,38
1,3525,35,39
1,3525,34,40
1,3524,27,41
1,3524,26,42
1,3524,33,43
1,3524,32,44
1,3525,40,45
1,3525,39,46
1,3525,46,47
1,3525,45,48
1,3524,38,49
1,3524,37,50
1,3524,44,51
1,3524,43,52
1,3525,52,53
1,3525,57,54
1,3525,51,55
1,3525,50,56
1,3525,56,57
1,3525,55,58
1,3525,49,59
1,3524,48,60
1,3524,54,61
1,3524,53,62
1,3524,59,63
1,3524,58,64
1,3524,61,65
1,3524,60,66
1,3524,63,67
1,3524,62,68
1,3524,65,69
1,3524,64,70
1,3524,67,71
1,3524,66,72
1,3524,73,73
1,3524,72,74
1,3525,69,75
1,3524,68,76
1,3526,75,77
1,3524,74,78
1,3525,71,79
1,3525,70,80
1,3525,77,81
1,3525,76,82
1,3525,71,83
1,3525,77,84
1,3524,91,85
1,3524,90,86
1,3524,93,87
1,3524,92,88
1,3524,95,89
1,3524,94,90
1,3524,97,91
1,3524,96,92
1,3524,99,93
1,3524,98,94
1,3524,101,95
1,3524,100,96
1,3524,103,97
1,3524,102,98
1,3524,105,99
1,3524,104,100
1,3525,113,101
1,3525,112,102
1,3529,121,103
1,3529,120,104
1,3526,111,105
1,3526,110,106
1,3526,119,107
1,3526,118,108
1,3524,109,109
1,3524,108,110
1,3526,117,111
1,3526,116,112
1,3524,107,113
1,3524,106,114
1,3524,115,115
1,3524,114,116
1,3522,79,117
1,3522,78,118
1,3524,85,119
1,3522,84,120
1,3502,81,121
1,3502,80,122
1,3502,87,123
1,3524,86,124
1,3502,83,125
1,3502,82,126
1,3502,89,127
