geography,id,num_hh_control,adults_control,workers_control,children_control,num_hh_result,adults_result,workers_result,children_result,num_hh_diff,adults_diff,workers_diff,children_diff
MAZ,1,2642,3759,3013,241,2642,3761,3014,241,0,2,1,0
MAZ,2,1063,1576,1386,155,1063,1576,1386,155,0,0,0,0
MAZ,3,868,1236,1001,85,868,1236,1001,85,0,0,0,0
MAZ,4,1850,2721,2369,227,1850,2722,2368,226,0,1,-1,-1
MAZ,5,2077,3169,2784,357,2077,3170,2785,358,0,1,1,1
MAZ,6,766,1155,995,106,766,1155,996,106,0,0,1,0
MAZ,7,1400,2198,1826,187,1400,2192,1825,186,0,-6,-1,-1
MAZ,8,149,272,182,19,149,271,183,19,0,-1,1,0
MAZ,9,1675,2468,1882,127,1675,2470,1881,126,0,2,-1,-1
MAZ,10,634,966,711,27,634,966,710,27,0,0,-1,0
MAZ,11,205,317,224,9,205,318,225,8,0,1,1,-1
MAZ,12,654,1011,718,30,654,1013,717,31,0,2,-1,1
MAZ,13,1498,2212,1993,134,1498,2213,1992,133,0,1,-1,-1
MAZ,14,1557,2362,2013,151,1557,2360,2011,152,0,-2,-2,1
MAZ,15,376,556,447,33,376,558,447,32,0,2,0,-1
MAZ,16,1014,1499,1277,88,1014,1500,1276,87,0,1,-1,-1
MAZ,17,6054,9091,6373,721,6054,9093,6373,720,0,2,0,-1
MAZ,18,1022,1451,1011,130,1022,1452,1011,129,0,1,0,-1
MAZ,19,2137,3094,2354,150,2137,3095,2352,149,0,1,-2,-1
MAZ,20,1719,2505,1899,171,1719,2506,1900,170,0,1,1,-1
MAZ,21,1398,2024,1520,114,1398,2025,1519,114,0,1,-1,0
MAZ,22,2188,3309,2348,220,2188,3309,2349,220,0,0,1,0
MAZ,23,3011,4643,3214,326,3011,4643,3212,324,0,0,-2,-2
MAZ,24,2175,3330,2306,260,2175,3332,2308,260,0,2,2,0
MAZ,25,160,233,184,9,160,234,183,9,0,1,-1,0
MAZ,26,306,474,332,31,306,474,331,30,0,0,-1,-1
MAZ,27,1485,2297,1614,153,1485,2297,1614,153,0,0,0,0
MAZ,31,383,605,233,8,383,605,233,8,0,0,0,0
MAZ,32,309,494,189,4,309,497,190,5,0,3,1,1
MAZ,35,977,1508,1084,148,977,1506,1083,147,0,-2,-1,-1
MAZ,36,2036,3141,2272,310,2036,3142,2272,309,0,1,0,-1
MAZ,37,192,297,211,9,192,298,211,8,0,1,0,-1
MAZ,39,1168,1804,1280,52,1168,1804,1281,52,0,0,1,0
MAZ,40,492,760,539,22,492,760,539,22,0,0,0,0
MAZ,41,1645,2548,1951,246,1645,2549,1953,246,0,1,2,0
MAZ,42,1530,2346,1868,256,1530,2345,1868,257,0,-1,0,1
MAZ,43,449,788,410,63,449,789,412,64,0,1,2,1
MAZ,44,508,786,641,77,508,787,641,77,0,1,0,0
MAZ,45,2469,4013,2878,314,2469,4013,2878,314,0,0,0,0
MAZ,46,1296,2108,1494,164,1296,2109,1494,163,0,1,0,-1
MAZ,47,943,1531,1123,121,943,1531,1122,121,0,0,-1,0
MAZ,48,366,594,414,46,366,596,414,48,0,2,0,2
MAZ,49,3,5,2,0,3,5,2,0,0,0,0,0
MAZ,53,3992,6215,4038,575,3992,6212,4036,574,0,-3,-2,-1
MAZ,54,8226,12196,7097,652,8226,12193,7097,652,0,-3,0,0
MAZ,55,7419,10767,8492,778,7419,10769,8493,780,0,2,1,2
MAZ,56,2640,4184,3059,1139,2640,4181,3059,1138,0,-3,0,-1
MAZ,57,8323,11683,8456,519,8323,11684,8456,518,0,1,0,-1
MAZ,58,1763,2718,2070,403,1763,2718,2071,403,0,0,1,0
MAZ,59,231,328,245,43,231,329,246,42,0,1,1,-1
MAZ,60,1736,3315,2800,217,1736,3316,2800,220,0,1,0,3
MAZ,61,368,661,510,60,368,657,509,58,0,-4,-1,-2
MAZ,62,2385,4569,3591,376,2385,4570,3594,376,0,1,3,0
MAZ,63,1905,3150,2705,415,1905,3150,2705,415,0,0,0,0
MAZ,64,2503,4463,3692,735,2503,4463,3689,734,0,0,-3,-1
MAZ,65,1898,2893,2381,475,1898,2893,2380,473,0,0,-1,-2
MAZ,66,619,952,757,146,619,951,757,147,0,-1,0,1
MAZ,67,2593,4172,3094,644,2593,4173,3096,642,0,1,2,-2
MAZ,68,1850,2936,2317,518,1850,2937,2315,518,0,1,-2,0
MAZ,69,926,2176,1212,136,926,2175,1211,135,0,-1,-1,-1
MAZ,70,2440,5044,3104,933,2440,5044,3104,933,0,0,0,0
MAZ,71,2274,4043,2395,741,2274,4044,2397,741,0,1,2,0
MAZ,72,986,1493,712,495,986,1494,712,495,0,1,0,0
MAZ,73,2241,4378,2858,949,2241,4381,2856,947,0,3,-2,-2
MAZ,74,2275,4421,2863,495,2275,4420,2863,493,0,-1,0,-2
MAZ,75,921,1417,885,338,921,1414,886,336,0,-3,1,-2
MAZ,76,278,492,256,38,278,491,256,39,0,-1,0,1
MAZ,77,1605,2978,1595,527,1605,2982,1595,527,0,4,0,0
MAZ,78,832,1675,1185,276,832,1675,1186,278,0,0,1,2
MAZ,80,7025,10318,8261,1323,7025,10317,8258,1324,0,-1,-3,1
MAZ,82,5080,7497,6140,921,5080,7496,6137,922,0,-1,-3,1
MAZ,85,2972,5457,4629,681,2972,5456,4628,679,0,-1,-1,-2
MAZ,86,2431,4703,3770,643,2431,4702,3772,641,0,-1,2,-2
MAZ,87,3478,6398,5706,853,3478,6397,5705,852,0,-1,-1,-1
MAZ,88,2999,5437,4523,694,2999,5433,4521,693,0,-4,-2,-1
MAZ,89,1802,3500,2794,760,1802,3500,2792,762,0,0,-2,2
MAZ,90,1878,3358,2790,524,1878,3360,2790,524,0,2,0,0
MAZ,91,694,1162,682,472,694,1161,682,473,0,-1,0,1
MAZ,92,725,1437,795,386,725,1435,796,387,0,-2,1,1
MAZ,93,963,1302,585,107,963,1303,585,107,0,1,0,0
MAZ,94,1562,2486,1419,866,1562,2484,1420,864,0,-2,1,-2
MAZ,96,1064,2189,1180,282,1064,2190,1178,284,0,1,-2,2
MAZ,97,133,254,57,14,133,253,57,12,0,-1,0,-2
MAZ,98,57,87,41,27,57,88,42,29,0,1,1,2
MAZ,99,2470,5942,3918,1410,2470,5951,3918,1413,0,9,0,3
MAZ,100,2347,5209,3545,1475,2347,5209,3545,1474,0,0,0,-1
MAZ,102,454,693,503,102,454,693,505,103,0,0,2,1
MAZ,103,1536,2225,1374,146,1536,2226,1374,144,0,1,0,-2
MAZ,104,1435,2140,1139,183,1435,2142,1141,183,0,2,2,0
MAZ,105,1796,3943,2015,600,1796,3941,2015,601,0,-2,0,1
MAZ,106,738,1710,910,289,738,1710,908,289,0,0,-2,0
MAZ,107,2045,4333,2066,1322,2045,4335,2069,1322,0,2,3,0
MAZ,108,2644,6154,3626,1133,2644,6156,3628,1132,0,2,2,-1
MAZ,109,109,261,164,54,109,257,162,53,0,-4,-2,-1
MAZ,110,40,92,46,18,40,90,45,18,0,-2,-1,0
MAZ,111,1472,3452,1979,722,1472,3455,1979,722,0,3,0,0
MAZ,112,1285,2795,1544,491,1285,2796,1543,490,0,1,-1,-1
MAZ,113,342,693,515,137,342,690,512,138,0,-3,-3,1
MAZ,114,1971,4177,2868,859,1971,4180,2870,858,0,3,2,-1
MAZ,117,657,1195,995,234,657,1193,995,232,0,-2,0,-2
MAZ,118,2604,4746,3973,932,2604,4745,3972,933,0,-1,-1,1
MAZ,119,2281,3972,3383,693,2281,3972,3384,693,0,0,1,0
MAZ,120,3024,5187,4449,999,3024,5185,4448,998,0,-2,-1,-1
MAZ,121,2147,4667,2955,465,2147,4668,2958,464,0,1,3,-1
