geography,id,num_hh_control,adults_control,workers_control,children_control,whitenh_control,blacknh_control,asiannh_control,othernh_control,hispanic_control,hh_inc_1_control,hh_inc_2_control,hh_inc_3_control,hh_inc_4_control,hh_under_35_control,hh_35_64_control,hh_65_control,hh_size_1_control,hh_size_2_control,hh_size_3_control,hh_size_4_control,hh_size_5_control,hh_size_6_control,hh_size_7_control,bldg_type_1_control,bldg_type_2_control,bldg_type_3_control,bldg_type_4_control,bldg_type_5_control,bldg_type_6_control,bldg_type_7_control,bldg_type_8_control,bldg_type_9_control,bldg_type_10_control,num_hh_result,adults_result,workers_result,children_result,whitenh_result,blacknh_result,asiannh_result,othernh_result,hispanic_result,hh_inc_1_result,hh_inc_2_result,hh_inc_3_result,hh_inc_4_result,hh_under_35_result,hh_35_64_result,hh_65_result,hh_size_1_result,hh_size_2_result,hh_size_3_result,hh_size_4_result,hh_size_5_result,hh_size_6_result,hh_size_7_result,bldg_type_1_result,bldg_type_2_result,bldg_type_3_result,bldg_type_4_result,bldg_type_5_result,bldg_type_6_result,bldg_type_7_result,bldg_type_8_result,bldg_type_9_result,bldg_type_10_result,num_hh_diff,adults_diff,workers_diff,children_diff,whitenh_diff,blacknh_diff,asiannh_diff,othernh_diff,hispanic_diff,hh_inc_1_diff,hh_inc_2_diff,hh_inc_3_diff,hh_inc_4_diff,hh_under_35_diff,hh_35_64_diff,hh_65_diff,hh_size_1_diff,hh_size_2_diff,hh_size_3_diff,hh_size_4_diff,hh_size_5_diff,hh_size_6_diff,hh_size_7_diff,bldg_type_1_diff,bldg_type_2_diff,bldg_type_3_diff,bldg_type_4_diff,bldg_type_5_diff,bldg_type_6_diff,bldg_type_7_diff,bldg_type_8_diff,bldg_type_9_diff,bldg_type_10_diff
PUMA,101,36286,74269,38556,22284,27306,23571,635,1429,43612,13172,10673,8118,4323,6990,21027,8269,11155,9614,5549,4490,3099,1362,1017,359,24299,1645,3442,1982,2209,778,481,1091,0,36286,74259,38555,22289,27302,23577,637,1435,43597,13173,10674,8116,4323,6989,21026,8271,11154,9613,5548,4490,3100,1362,1019,359,24298,1644,3443,1984,2209,778,481,1090,0,0,-10,-1,5,-4,6,2,6,-15,1,1,-2,0,-1,-1,2,-1,-1,-1,0,1,0,2,0,-1,-1,1,2,0,0,0,-1,0
PUMA,102,47053,89234,43783,24277,33403,62915,620,2659,13914,19099,13720,8464,5770,8387,25329,13337,16036,13997,7268,5342,2146,1133,1131,1093,34226,2195,1239,1263,2334,2067,1251,1378,7,47053,89215,43790,24273,33392,62889,626,2663,13918,19097,13717,8464,5775,8388,25326,13339,16022,13994,7269,5350,2148,1134,1136,1091,34235,2196,1238,1263,2336,2066,1251,1377,0,0,-19,7,-4,-11,-26,6,4,4,-2,-3,0,5,1,-3,2,-14,-3,1,8,2,1,5,-2,9,1,-1,0,2,-1,0,-1,-7
PUMA,103,56641,112168,68400,27681,89875,20533,3320,4195,21926,10778,14650,14593,16620,8869,32234,15538,16395,18244,9027,7802,3440,1122,611,501,41766,4911,619,1656,2493,2296,1429,962,8,56641,112111,68396,27673,89853,20520,3323,4196,21892,10777,14651,14593,16620,8871,32235,15535,16382,18239,9034,7808,3443,1126,609,500,41767,4912,619,1655,2495,2296,1429,962,6,0,-57,-4,-8,-22,-13,3,1,-34,-1,1,0,0,2,1,-3,-13,-5,7,6,3,4,-2,-1,1,1,0,-1,2,0,0,0,-2
PUMA,104,49057,102120,62794,26374,108229,4585,1995,1900,11785,6963,10878,12957,18259,6694,28757,13606,11194,17085,7773,7839,3457,1190,519,513,38027,5049,751,842,1031,1363,834,633,14,49057,102114,62805,26360,108224,4568,1989,1897,11796,6959,10875,12965,18258,6691,28756,13610,11183,17085,7777,7848,3460,1191,513,514,38052,5046,752,840,1031,1362,831,629,0,0,-6,11,-14,-5,-17,-6,-3,11,-4,-3,8,-1,-3,-1,4,-11,0,4,9,3,1,-6,1,25,-3,1,-2,0,-1,-3,-4,-14
PUMA,200,66112,134255,78540,33169,139445,5666,2245,3322,16746,12488,15370,16531,21723,10952,38757,16403,16283,23411,10744,9393,4307,1330,644,2841,48981,4019,1642,2080,3168,2279,584,499,19,66112,134181,78534,33132,139354,5645,2238,3313,16763,12490,15371,16532,21719,10951,38754,16407,16265,23412,10746,9400,4315,1331,643,2845,49004,4023,1642,2080,3168,2276,578,496,0,0,-74,-6,-37,-91,-21,-7,-9,17,2,1,1,-4,-1,-3,4,-18,1,2,7,8,1,-1,4,23,4,0,0,0,-3,-6,-3,-19
PUMA,300,43226,82023,47100,21144,83358,9726,590,2774,6719,11782,11891,10579,8974,7630,22934,12662,12885,15250,6514,4751,2473,927,426,1661,33522,1217,1488,1343,1105,1213,1332,345,0,43226,82045,47114,21135,83392,9719,587,2764,6718,11780,11889,10588,8969,7629,22934,12663,12885,15252,6514,4754,2474,924,423,1657,33541,1217,1482,1342,1105,1211,1329,342,0,0,22,14,-9,34,-7,-3,-10,-1,-2,-2,9,-5,-1,0,1,0,2,0,3,1,-3,-3,-4,19,0,-6,-1,0,-2,-3,-3,0
PUMA,2300,40026,82090,48497,22092,74905,15612,900,1794,10971,10012,10387,9651,9976,7196,21951,10879,10372,13201,5985,5592,3014,1386,476,2389,28937,1702,1309,1683,1894,655,378,1077,2,40026,82077,48501,22097,74875,15626,901,1808,10964,10010,10390,9644,9982,7188,21962,10876,10365,13204,5984,5592,3019,1382,480,2392,28944,1704,1309,1684,1891,656,376,1070,0,0,-13,4,5,-30,14,1,14,-7,-2,3,-7,6,-8,11,-3,-7,3,-1,0,5,-4,4,3,7,2,0,1,-3,1,-2,-7,-2
PUMA,2400,44748,84022,49830,20393,90223,1665,748,1650,10129,11140,12029,11133,10446,7873,23993,12882,13891,16194,5982,5243,2368,531,539,1252,35883,1141,1644,1731,1161,718,355,863,0,44748,83997,49825,20335,90185,1658,734,1633,10122,11135,12030,11136,10447,7877,23987,12884,13884,16197,5988,5243,2374,528,534,1255,35890,1142,1644,1730,1161,716,350,860,0,0,-25,-5,-58,-38,-7,-14,-17,-7,-5,1,3,1,4,-6,2,-7,3,6,0,6,-3,-5,3,7,1,0,-1,0,-2,-5,-3,0
PUMA,2601,38293,78399,49503,19534,76233,6802,2179,1977,10742,9483,8679,9571,10560,10949,19456,7888,9964,12238,6779,5455,2505,957,395,827,22565,3762,1124,1814,3363,2140,1212,1480,6,38293,78408,49499,19541,76264,6803,2174,1978,10730,9485,8675,9571,10562,10949,19459,7885,9971,12239,6774,5455,2502,960,392,826,22577,3762,1123,1815,3364,2140,1210,1475,1,0,9,-4,7,31,1,-5,1,-12,2,-4,0,2,0,3,-3,7,1,-5,0,-3,3,-3,-1,12,0,-1,1,1,0,-2,-5,-5
PUMA,2700,7769,15208,9579,4160,14574,371,60,328,4035,1775,2284,2009,1701,1481,4261,2027,2372,2488,990,1021,602,194,102,409,5666,225,344,292,468,127,135,103,0,7769,15198,9576,4161,14574,370,56,322,4037,1771,2284,2013,1701,1485,4258,2026,2371,2490,988,1022,603,194,101,410,5668,223,343,292,470,127,134,102,0,0,-10,-3,1,0,-1,-4,-6,2,-4,0,4,0,4,-3,-1,-1,2,-2,1,1,0,-1,1,2,-2,-1,0,2,0,-1,-1,0
