hh_id,MAZ,balanced_weight,integer_weight,TAZ,REGION,PUMA
9,17418,2.0,2,3630,1,50000
193,17418,2.0,2,3630,1,50000
268,17418,1.0,1,3630,1,50000
434,17418,0.0,0,3630,1,50000
467,17418,1.0,1,3630,1,50000
642,17418,0.0,0,3630,1,50000
812,17418,1.0,1,3630,1,50000
924,17418,0.0,0,3630,1,50000
1058,17418,3.0,3,3630,1,50000
1304,17418,0.0,0,3630,1,50000
1955,17418,0.0,0,3630,1,50000
2230,17418,2.0,2,3630,1,50000
2347,17418,1.0,1,3630,1,50000
2386,17418,1.0,1,3630,1,50000
2575,17418,3.0,3,3630,1,50000
2580,17418,6.0,6,3630,1,50000
2687,17418,0.0,0,3630,1,50000
2753,17418,2.0,2,3630,1,50000
2791,17418,8.0,8,3630,1,50000
2952,17418,2.0,2,3630,1,50000
3021,17418,10.0,10,3630,1,50000
3108,17418,4.0,4,3630,1,50000
3197,17418,1.0,1,3630,1,50000
3209,17418,0.0,0,3630,1,50000
3326,17418,1.0,1,3630,1,50000
3366,17418,6.0,6,3630,1,50000
3472,17418,3.0,3,3630,1,50000
3517,17418,4.0,4,3630,1,50000
3578,17418,5.0,5,3630,1,50000
3649,17418,36.0,36,3630,1,50000
3677,17418,4.0,4,3630,1,50000
3719,17418,0.0,0,3630,1,50000
3767,17418,9.0,9,3630,1,50000
3906,17418,5.0,5,3630,1,50000
3947,17418,0.0,0,3630,1,50000
4038,17418,6.0,6,3630,1,50000
4104,17418,13.0,13,3630,1,50000
4165,17418,3.0,3,3630,1,50000
4232,17418,15.0,15,3630,1,50000
4300,17418,4.0,4,3630,1,50000
4357,17418,0.0,0,3630,1,50000
4418,17418,7.0,7,3630,1,50000
4492,17418,41.0,41,3630,1,50000
4530,17418,5.0,5,3630,1,50000
4590,17418,5.0,5,3630,1,50000
4643,17418,7.0,7,3630,1,50000
4697,17418,3.0,3,3630,1,50000
4816,17418,4.0,4,3630,1,50000
4862,17418,5.0,5,3630,1,50000
4911,17418,2.0,2,3630,1,50000
4983,17418,12.0,12,3630,1,50000
5014,17418,5.0,5,3630,1,50000
5036,17418,4.0,4,3630,1,50000
5059,17418,3.0,3,3630,1,50000
5082,17418,8.0,8,3630,1,50000
5111,17418,6.0,6,3630,1,50000
5145,17418,0.0,0,3630,1,50000
5187,17418,3.0,3,3630,1,50000
5479,17418,0.0,0,3630,1,50000
5500,17418,2.0,2,3630,1,50000
5882,17418,0.0,0,3630,1,50000
5953,17418,0.0,0,3630,1,50000
6521,17418,2.0,2,3630,1,50000
6996,17418,1.0,1,3630,1,50000
7430,17418,0.0,0,3630,1,50000
7508,17418,2.0,2,3630,1,50000
7638,17418,1.0,1,3630,1,50000
8069,17418,5.0,5,3630,1,50000
8523,17418,4.0,4,3630,1,50000
10008,17418,3.0,3,3630,1,50000
10152,17418,3.0,3,3630,1,50000
10200,17418,4.0,4,3630,1,50000
10264,17418,3.0,3,3630,1,50000
10424,17418,2.0,2,3630,1,50000
10474,17418,0.0,0,3630,1,50000
10561,17418,2.0,2,3630,1,50000
10634,17418,14.0,14,3630,1,50000
10640,17418,1.0,1,3630,1,50000
10953,17418,5.0,5,3630,1,50000
11017,17418,7.0,7,3630,1,50000
11063,17418,1.0,1,3630,1,50000
11211,17418,3.0,3,3630,1,50000
11308,17418,2.0,2,3630,1,50000
11367,17418,0.0,0,3630,1,50000
11439,17418,39.0,39,3630,1,50000
11752,17418,4.0,4,3630,1,50000
11792,17418,1.0,1,3630,1,50000
11852,17418,4.0,4,3630,1,50000
11893,17418,3.0,3,3630,1,50000
11933,17418,0.0,0,3630,1,50000
11959,17418,0.0,0,3630,1,50000
12002,17418,1.0,1,3630,1,50000
12072,17418,9.0,9,3630,1,50000
12090,17418,0.0,0,3630,1,50000
12138,17418,3.0,3,3630,1,50000
12188,17418,2.0,2,3630,1,50000
12313,17418,19.0,19,3630,1,50000
12380,17418,2.0,2,3630,1,50000
12436,17418,10.0,10,3630,1,50000
12497,17418,2.0,2,3630,1,50000
12571,17418,45.0,45,3630,1,50000
12605,17418,2.0,2,3630,1,50000
12649,17418,0.0,0,3630,1,50000
12742,17418,1.0,1,3630,1,50000
12800,17418,4.0,4,3630,1,50000
12879,17418,2.0,2,3630,1,50000
12922,17418,0.0,0,3630,1,50000
12980,17418,10.0,10,3630,1,50000
12992,17418,4.0,4,3630,1,50000
13020,17418,2.0,2,3630,1,50000
13113,17418,3.0,3,3630,1,50000
13160,17418,1.0,1,3630,1,50000
13221,17418,5.0,5,3630,1,50000
13265,17418,0.0,0,3630,1,50000
13307,17418,5.0,5,3630,1,50000
13357,17418,8.0,8,3630,1,50000
13414,17418,7.0,7,3630,1,50000
13506,17418,1.0,1,3630,1,50000
13631,17418,16.0,16,3630,1,50000
13656,17418,3.0,3,3630,1,50000
13724,17418,2.0,2,3630,1,50000
13775,17418,6.0,6,3630,1,50000
13827,17418,34.0,34,3630,1,50000
13867,17418,1.0,1,3630,1,50000
13894,17418,4.0,4,3630,1,50000
13958,17418,7.0,7,3630,1,50000
14007,17418,1.0,1,3630,1,50000
14176,17418,0.0,0,3630,1,50000
14782,17418,0.0,0,3630,1,50000
14857,17418,0.0,0,3630,1,50000
14862,17418,0.0,0,3630,1,50000
14885,17418,1.0,1,3630,1,50000
14998,17418,1.0,1,3630,1,50000
15101,17418,3.0,3,3630,1,50000
15153,17418,2.0,2,3630,1,50000
15168,17418,4.0,4,3630,1,50000
15178,17418,1.0,1,3630,1,50000
15244,17418,5.0,5,3630,1,50000
15245,17418,1.0,1,3630,1,50000
15301,17418,4.0,4,3630,1,50000
15314,17418,1.0,1,3630,1,50000
15331,17418,3.0,3,3630,1,50000
15341,17418,1.0,1,3630,1,50000
15390,17418,1.0,1,3630,1,50000
15692,17418,0.0,0,3630,1,50000
16126,17418,0.0,0,3630,1,50000
16230,17418,0.0,0,3630,1,50000
16249,17418,0.0,0,3630,1,50000
16311,17418,1.0,1,3630,1,50000
16340,17418,1.0,1,3630,1,50000
16366,17418,1.0,1,3630,1,50000
16444,17418,1.0,1,3630,1,50000
16451,17418,1.0,1,3630,1,50000
16462,17418,3.0,3,3630,1,50000
16511,17418,2.0,2,3630,1,50000
16549,17418,2.0,2,3630,1,50000
16638,17418,0.0,0,3630,1,50000
16850,17418,2.0,2,3630,1,50000
16899,17418,2.0,2,3630,1,50000
16920,17418,0.0,0,3630,1,50000
17030,17418,1.0,1,3630,1,50000
17283,17418,1.0,1,3630,1,50000
17496,17418,0.0,0,3630,1,50000
18775,17418,0.0,0,3630,1,50000
18798,17418,0.0,0,3630,1,50000
18957,17418,1.0,1,3630,1,50000
19016,17418,0.0,0,3630,1,50000
19270,17418,1.0,1,3630,1,50000
19337,17418,4.0,4,3630,1,50000
19408,17418,26.0,26,3630,1,50000
19523,17418,4.0,4,3630,1,50000
19574,17418,1.0,1,3630,1,50000
19686,17418,0.0,0,3630,1,50000
19740,17418,3.0,3,3630,1,50000
19811,17418,35.0,35,3630,1,50000
19829,17418,0.0,0,3630,1,50000
19943,17418,6.0,6,3630,1,50000
20045,17418,1.0,1,3630,1,50000
20078,17418,3.0,3,3630,1,50000
20147,17418,1.0,1,3630,1,50000
20202,17418,1.0,1,3630,1,50000
20274,17418,43.0,43,3630,1,50000
20302,17418,2.0,2,3630,1,50000
20425,17418,10.0,10,3630,1,50000
20442,17418,1.0,1,3630,1,50000
20496,17418,1.0,1,3630,1,50000
20617,17418,1.0,1,3630,1,50000
20667,17418,3.0,3,3630,1,50000
20736,17418,17.0,17,3630,1,50000
20847,17418,2.0,2,3630,1,50000
20953,17418,5.0,5,3630,1,50000
21286,17418,0.0,0,3630,1,50000
21369,17418,1.0,1,3630,1,50000
21403,17418,4.0,4,3630,1,50000
21699,17418,1.0,1,3630,1,50000
21742,17418,1.0,1,3630,1,50000
21932,17418,2.0,2,3630,1,50000
21965,17418,0.0,0,3630,1,50000
21973,17418,1.0,1,3630,1,50000
22185,17418,3.0,3,3630,1,50000
22354,17418,0.0,0,3630,1,50000
22910,17418,0.0,0,3630,1,50000
24415,17418,2.0,2,3630,1,50000
24544,17418,1.0,1,3630,1,50000
24689,17418,1.0,1,3630,1,50000
24820,17418,1.0,1,3630,1,50000
25087,17418,1.0,1,3630,1,50000
25204,17418,0.0,0,3630,1,50000
25487,17418,1.0,1,3630,1,50000
25559,17418,27.0,27,3630,1,50000
25669,17418,2.0,2,3630,1,50000
25744,17418,1.0,1,3630,1,50000
25815,17418,37.0,37,3630,1,50000
25951,17418,1.0,1,3630,1,50000
26000,17418,1.0,1,3630,1,50000
26132,17418,27.0,27,3630,1,50000
26145,17418,1.0,1,3630,1,50000
26241,17418,3.0,3,3630,1,50000
26414,17418,32.0,32,3630,1,50000
26561,17418,2.0,2,3630,1,50000
26720,17418,2.0,2,3630,1,50000
26791,17418,12.0,12,3630,1,50000
26809,17418,2.0,2,3630,1,50000
26977,17418,1.0,1,3630,1,50000
27096,17418,19.0,19,3630,1,50000
27120,17418,5.0,5,3630,1,50000
27133,17418,0.0,0,3630,1,50000
27179,17418,7.0,7,3630,1,50000
27252,17418,2.0,2,3630,1,50000
27364,17418,6.0,6,3630,1,50000
27368,17418,0.0,0,3630,1,50000
27396,17418,0.0,0,3630,1,50000
27435,17418,6.0,6,3630,1,50000
27573,17418,3.0,3,3630,1,50000
27591,17418,0.0,0,3630,1,50000
27605,17418,1.0,1,3630,1,50000
27677,17418,0.0,0,3630,1,50000
27698,17418,0.0,0,3630,1,50000
27781,17418,1.0,1,3630,1,50000
27878,17418,0.0,0,3630,1,50000
27879,17418,0.0,0,3630,1,50000
27943,17418,0.0,0,3630,1,50000
27946,17418,1.0,1,3630,1,50000
28739,17418,1.0,1,3630,1,50000
28797,17418,0.0,0,3630,1,50000
28804,17418,1.0,1,3630,1,50000
28989,17418,0.0,0,3630,1,50000
29083,17418,1.0,1,3630,1,50000
29106,17418,1.0,1,3630,1,50000
29250,17418,4.0,4,3630,1,50000
29346,17418,1.0,1,3630,1,50000
29479,17418,2.0,2,3630,1,50000
29568,17418,2.0,2,3630,1,50000
29638,17418,2.0,2,3630,1,50000
29700,17418,3.0,3,3630,1,50000
29735,17418,1.0,1,3630,1,50000
29894,17418,0.0,0,3630,1,50000
29909,17418,1.0,1,3630,1,50000
29915,17418,1.0,1,3630,1,50000
30224,17418,0.0,0,3630,1,50000
30269,17418,1.0,1,3630,1,50000
31003,17418,0.0,0,3630,1,50000
31053,17418,0.0,0,3630,1,50000
31142,17418,0.0,0,3630,1,50000
31174,17418,1.0,1,3630,1,50000
31293,17418,0.0,0,3630,1,50000
31420,17418,12.0,12,3630,1,50000
31487,17418,1.0,1,3630,1,50000
31531,17418,0.0,0,3630,1,50000
31611,17418,8.0,8,3630,1,50000
31687,17418,4.0,4,3630,1,50000
31691,17418,0.0,0,3630,1,50000
31792,17418,0.0,0,3630,1,50000
31809,17418,0.0,0,3630,1,50000
31870,17418,3.0,3,3630,1,50000
31944,17418,1.0,1,3630,1,50000
32247,17418,0.0,0,3630,1,50000
32790,17418,6.0,6,3630,1,50000
32833,17418,7.0,7,3630,1,50000
32892,17418,3.0,3,3630,1,50000
33000,17418,1.0,1,3630,1,50000
33123,17418,1.0,1,3630,1,50000
33304,17418,0.0,0,3630,1,50000
33832,17418,0.0,0,3630,1,50000
34083,17418,3.0,3,3630,1,50000
34125,17418,2.0,2,3630,1,50000
34344,17418,1.0,1,3630,1,50000
34449,17418,1.0,1,3630,1,50000
34494,17418,2.0,2,3630,1,50000
34675,17418,1.0,1,3630,1,50000
34987,17418,0.0,0,3630,1,50000
35046,17418,1.0,1,3630,1,50000
36254,17418,0.0,0,3630,1,50000
36408,17418,1.0,1,3630,1,50000
36532,17418,1.0,1,3630,1,50000
36673,17418,2.0,2,3630,1,50000
36735,17418,1.0,1,3630,1,50000
36757,17418,0.0,0,3630,1,50000
36946,17418,6.0,6,3630,1,50000
37307,17418,2.0,2,3630,1,50000
37772,17418,0.0,0,3630,1,50000
37834,17418,2.0,2,3630,1,50000
37879,17418,0.0,0,3630,1,50000
37948,17418,9.0,9,3630,1,50000
38013,17418,5.0,5,3630,1,50000
38129,17418,2.0,2,3630,1,50000
38223,17418,6.0,6,3630,1,50000
38295,17418,93.0,93,3630,1,50000
38377,17418,1.0,1,3630,1,50000
38493,17418,3.0,3,3630,1,50000
38518,17418,3.0,3,3630,1,50000
38566,17418,0.0,0,3630,1,50000
38638,17418,8.0,8,3630,1,50000
38765,17418,6.0,6,3630,1,50000
38772,17418,2.0,2,3630,1,50000
38798,17418,1.0,1,3630,1,50000
38885,17418,4.0,4,3630,1,50000
38956,17418,0.0,0,3630,1,50000
39008,17418,7.0,7,3630,1,50000
39077,17418,75.0,75,3630,1,50000
39095,17418,5.0,5,3630,1,50000
39126,17418,2.0,2,3630,1,50000
39210,17418,0.0,0,3630,1,50000
39258,17418,7.0,7,3630,1,50000
39300,17418,6.0,6,3630,1,50000
39332,17418,4.0,4,3630,1,50000
39375,17418,2.0,2,3630,1,50000
39441,17418,10.0,10,3630,1,50000
39446,17418,0.0,0,3630,1,50000
39458,17418,1.0,1,3630,1,50000
39529,17418,6.0,6,3630,1,50000
39567,17418,0.0,0,3630,1,50000
39618,17418,8.0,8,3630,1,50000
39645,17418,2.0,2,3630,1,50000
39768,17418,23.0,23,3630,1,50000
39782,17418,1.0,1,3630,1,50000
39801,17418,0.0,0,3630,1,50000
39907,17418,4.0,4,3630,1,50000
39965,17418,2.0,2,3630,1,50000
39983,17418,2.0,2,3630,1,50000
40032,17418,4.0,4,3630,1,50000
40095,17418,1.0,1,3630,1,50000
40144,17418,4.0,4,3630,1,50000
40176,17418,0.0,0,3630,1,50000
